etf_code,etf_name,sector,total_bars,ret_90d,mdd_90d,trades_90d,free_shares_90d,ret_180d,mdd_180d,trades_180d,free_shares_180d,ret_1y,mdd_1y,trades_1y,free_shares_1y,ret_2y,mdd_2y,trades_2y,free_shares_2y,ret_3y,mdd_3y,trades_3y,free_shares_3y,ret_5y,mdd_5y,trades_5y,free_shares_5y
515880,通信ETF国泰,科技芯片,1231,-26.92,27.57,82,1500,19.4,4.17,64,3100,19.68,8.25,142,7400,15.28,11.56,56,12000,35.35,24.09,382,45800,37.36,29.42,634,81500
515050,通信ETF华夏,科技芯片,1231,4.23,21.66,115,2500,20.07,3.31,58,2100,20.33,7.62,158,5000,13.82,10.03,46,6800,28.12,20.48,308,23000,21.61,32.49,436,30000
159994,通信ETF银华,科技芯片,1231,10.95,20.46,107,2200,18.6,3.16,48,1500,18.48,7.11,140,3600,13.99,10.07,52,5600,25.98,19.62,328,17200,19.91,32.81,426,22300
159811,5GETF博时,科技芯片,1231,0.08,20.37,114,600,17.72,3.25,54,600,20.48,8.41,174,1600,6.93,5.37,16,800,14.37,14.36,202,4000,18.29,28.48,442,8700
515220,煤炭ETF国泰,周期资源,1588,28.08,12.5,96,1500,28.13,14.57,230,3000,10.55,2.69,96,1900,7.72,4.92,114,3000,12.05,10.69,410,7800,17.56,29.43,1162,19800
512930,AI人工智能ETF平安,科技芯片,1231,19.87,9.84,201,5200,17.02,3.62,62,3200,17.66,6.44,260,7800,4.63,2.33,26,3400,17.98,24.09,396,25800,16.08,39.33,782,39000
515070,人工智能ETF华夏,科技芯片,1231,18.21,9.95,195,2800,16.86,3.69,62,1800,17.4,6.44,256,4300,4.52,2.21,24,1900,16.24,23.31,338,13000,13.84,38.36,630,18500
516510,云计算ETF易方达,科技芯片,1231,35.92,5.27,246,1800,18.76,8.53,383,2800,20.42,5.29,469,3800,3.43,1.47,28,900,12.94,27.79,358,6800,13.58,35.28,762,12200
516010,游戏ETF国泰,科技芯片,1231,51.06,5.5,280,3100,-33.42,24.46,60,400,-17.54,33.4,240,2100,2.88,3.23,42,1000,19.26,31.11,1152,15700,13.51,26.59,1050,18200
159819,人工智能ETF易方达,科技芯片,1231,12.07,9.74,183,1500,16.92,3.71,62,1100,17.12,6.36,240,2600,5.01,2.66,22,1200,17.29,23.35,358,8500,13.33,37.98,612,11300
513200,港股通医药ETF易方达,跨境全球,1115,29.57,2.19,74,1600,19.03,17.88,251,3000,-19.0,33.0,36,100,3.96,3.22,60,1700,12.31,27.81,516,10400,12.88,38.32,1105,17000
512980,传媒ETF广发,科技芯片,1231,29.99,6.81,183,2800,-31.17,24.94,74,900,-7.75,24.54,214,2900,2.84,2.85,30,1400,15.53,23.76,737,16200,12.81,29.2,928,22700
159869,游戏ETF华夏,科技芯片,1231,48.4,5.47,274,2900,-32.36,24.28,70,400,-16.99,33.28,230,2100,2.72,3.26,36,900,18.23,30.92,1094,14700,12.65,27.43,972,16800
516630,云计算ETF华夏,科技芯片,1217,36.75,5.25,235,1900,17.94,8.32,361,2600,20.61,5.16,469,3900,3.86,2.02,22,900,14.05,27.71,370,7700,12.62,35.4,714,11500
516100,金融科技ETF华夏,科技芯片,1231,22.77,6.96,165,2200,-36.03,23.1,52,400,-26.83,36.04,116,1200,3.41,3.93,26,1300,6.19,33.98,192,5000,12.1,37.85,915,17900
515980,人工智能ETF华富,科技芯片,1231,27.96,10.72,194,3300,15.89,4.0,52,1700,18.45,6.59,228,4900,5.43,3.04,18,2300,21.21,24.03,352,18300,10.99,43.11,354,15700
159805,传媒ETF鹏华,科技芯片,1231,30.24,6.83,179,2100,-31.02,24.86,74,700,-7.98,24.56,220,2000,2.96,3.68,30,900,15.43,23.18,706,11600,10.89,27.28,750,13700
513070,港股通消费ETF易方达,跨境全球,1086,-20.28,8.83,106,700,-33.69,18.24,38,200,-20.37,25.81,230,1000,1.33,1.31,24,400,3.26,24.46,230,2500,10.55,26.24,1422,13200
516860,金融科技ETF博时,科技芯片,1198,18.25,7.18,168,1900,-38.06,23.11,46,300,-28.37,35.76,112,900,2.99,3.25,20,1100,5.54,34.28,190,4300,10.5,37.06,931,14800
159930,能源ETF汇添富,周期资源,1231,23.85,9.39,114,800,14.39,14.06,203,1400,5.51,1.3,34,600,6.22,8.07,164,1700,5.77,7.58,240,2600,10.44,17.73,618,8600
159851,金融科技ETF华宝,科技芯片,1231,18.42,7.15,174,3400,-39.51,23.62,48,500,-28.7,37.19,122,2000,3.27,3.55,30,2300,5.5,32.86,190,7300,10.25,37.26,913,25600
513380,恒生科技ETF广发,跨境全球,1056,-11.61,8.25,154,2500,-25.2,15.91,78,1900,-27.29,30.57,146,2000,1.6,1.83,24,1200,4.74,25.0,340,9200,10.18,27.44,1081,26700
515100,红利低波100ETF景顺,公用红利,1231,7.84,6.79,153,400,-4.92,10.37,90,300,6.25,8.65,497,1500,1.24,0.5,32,300,4.63,8.27,556,2700,9.97,14.12,1402,10400
159981,能源化工ETF建信,大宗商品,1231,32.52,8.36,60,900,28.28,13.64,169,2000,10.54,5.74,78,1300,10.84,11.65,214,3200,6.24,25.17,231,2900,9.02,15.04,490,7300
513000,日经225ETF易方达,跨境全球,1231,9.08,10.03,134,600,9.58,5.66,64,400,4.6,1.33,38,300,8.29,14.47,216,2000,4.95,5.84,144,1600,8.79,23.66,480,5500
516620,影视ETF国泰,科技芯片,1179,25.43,7.45,121,2200,-29.41,24.03,40,300,-15.3,32.56,162,2300,2.89,3.1,24,1200,11.12,27.17,626,13700,8.55,31.85,896,18300
513880,日经225ETF华安,跨境全球,1231,9.95,10.33,152,700,12.78,5.32,72,600,4.48,1.35,24,300,6.44,12.11,170,1500,5.78,4.77,188,2100,8.18,22.46,494,5400
159866,日经ETF工银,跨境全球,1231,9.21,9.91,126,800,9.88,5.31,56,600,4.04,0.95,28,400,9.01,10.67,238,2800,5.27,6.34,150,2400,8.12,24.17,492,6800
515400,大数据ETF富国,科技芯片,1231,37.04,4.63,249,3800,-21.65,17.57,150,1800,-1.13,18.45,398,5300,2.59,1.56,28,1300,13.56,32.19,797,15100,7.73,44.06,1144,18400
159611,电力ETF广发,公用红利,1135,-22.48,10.4,20,100,4.68,11.27,330,2300,11.09,2.59,408,2900,3.03,1.25,188,1400,4.26,5.37,356,3300,7.65,16.96,1228,9900
513530,港股通红利ETF华泰柏瑞,跨境全球,1066,9.75,10.12,113,400,3.69,12.26,166,500,9.31,10.65,528,1700,1.36,0.61,24,200,6.34,7.62,436,3200,7.64,20.28,596,5900
513520,日经ETF华夏,跨境全球,1231,0.79,11.84,129,500,11.34,4.52,78,500,4.34,1.18,34,300,8.39,12.51,248,2000,3.99,5.76,98,1200,7.44,24.16,384,4600
518890,上海金ETF中银,大宗商品,1231,14.06,4.78,82,100,-26.88,19.36,12,0,2.73,3.45,17,0,2.7,1.15,62,100,4.7,6.09,100,200,7.41,11.3,272,900
517900,银行AH优选ETF招商,大金融,1085,17.75,7.89,93,500,14.68,5.9,184,1100,10.76,8.2,319,1700,1.79,0.72,12,300,3.1,8.19,142,1500,7.19,16.01,568,5700
159608,稀有金属ETF广发,周期资源,1145,-68.81,24.28,72,600,-3.77,18.8,230,2900,12.36,4.29,102,3100,4.54,3.34,32,1900,14.23,23.9,390,11900,7.18,54.05,570,9800
512040,价值ETF富国,核心宽基,1231,12.28,4.37,161,800,-4.37,9.07,88,400,3.87,0.76,116,700,1.61,0.45,32,500,5.51,5.74,432,3900,6.92,17.6,966,8400
518680,金ETF富国,大宗商品,1231,13.15,4.97,82,0,-27.46,19.82,10,0,2.67,3.59,11,0,3.06,2.34,54,100,3.22,4.45,76,100,6.91,11.12,202,700
512700,银行ETF南方,大金融,1231,19.12,7.88,120,700,17.45,6.95,233,1400,10.35,9.0,318,1800,1.88,0.97,24,400,3.41,8.45,156,1700,6.59,24.68,596,6100
561100,消费电子ETF富国,科技芯片,1118,9.17,13.48,143,1800,17.66,6.57,54,1200,20.56,8.02,238,3400,5.03,3.87,20,1200,15.76,20.43,284,8300,6.51,41.76,188,5300
516920,芯片ETF汇添富,科技芯片,1231,27.29,9.21,187,2800,15.81,6.9,52,1200,21.16,9.4,204,4200,5.34,4.5,26,1900,12.69,26.96,158,8200,6.47,50.89,264,6800
512820,银行ETF汇添富,大金融,1231,20.7,7.0,127,700,15.54,6.33,206,1300,9.68,8.54,311,1700,1.98,0.98,22,400,3.73,8.0,158,1900,6.28,23.85,536,6000
512480,半导体ETF国联安,科技芯片,1231,22.73,11.11,190,3500,16.98,6.07,48,1800,18.97,8.43,176,5000,6.12,5.42,26,2900,13.68,27.83,160,12000,6.27,51.8,254,8900
159998,计算机ETF天弘,科技芯片,1231,27.46,4.05,210,2600,10.42,9.38,310,4200,11.19,10.09,520,6200,2.7,1.32,24,1100,11.73,30.13,564,10900,6.26,46.43,994,13300
159801,芯片ETF广发,科技芯片,1231,19.87,11.77,185,2900,15.54,7.36,48,1500,19.84,8.44,204,4900,5.46,4.81,20,2200,11.57,23.86,140,8900,6.22,52.86,300,8000
518860,上海金ETF建信,大宗商品,1227,13.19,4.88,84,0,-28.22,20.1,10,0,2.73,3.44,17,0,2.38,1.15,52,100,3.6,5.25,94,100,6.16,10.22,252,700
